bowler,overs,maidens,runs,wickets,economy
Vikramjeet Singh Malik,2.1,0,23,1,10.95
Irfan Pathan,3.0,0,35,1,11.67
Shalabh Srivastava,4.0,0,36,0,9.0
Rusty Theron,4.0,0,32,1,8.0
Piyush Chawla,4.0,0,24,1,6.0
Yuvraj Singh,2.0,0,22,1,11.0
