Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,81
Runs,0,0,1321
Balls,0,0,1856
Highest,0,0,73
Average,0,0,17.85
SR,0,0,71.18
Not Out,0,0,7
Fours,0,0,124
Sixes,0,0,0
Ducks,0,0,14
