Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,71
Balls,0,0,1306
Runs,0,0,1245
Maidens,0,0,9
Wickets,0,0,42
Avg,0.0,0.0,29.64
Eco,0,0,5.72
SR,0.0,0.0,31.1
BBI,-/-,-/-,3/9
BBM,-/-,-/-,3/9
