Stat,Test,ODI,T20,IPL
Matches,0,0,2,51
Innings,0,0,0,9
Runs,0,0,0,53
Balls,0,0,0,33
Highest,0,0,0,25
Average,0,0,0,17.67
SR,0,0,0,160.61
Not Out,0,0,0,6
Fours,0,0,0,2
Sixes,0,0,0,4
Ducks,0,0,0,0
