batter,runs,balls,fours,sixes,strike_rate,dismissal
Mayank Agarwal,52,32,6,2,162.5,c Suryakumar Yadav b M Ashwin
Dhawan,70,50,5,3,140.0,c Pollard b Basil Thampi
Bairstow,12,13,1,0,92.31,b Unadkat
Livingstone,2,3,0,0,66.67,b Bumrah
Jitesh Sharma,30,15,2,2,200.0,not out
Shahrukh Khan,15,6,0,2,250.0,b Basil Thampi
Odean Smith,1,1,0,0,100.0,not out
