over,runs,wickets
1,25,0
2,11,0
3,6,0
4,9,0
5,12,0
6,13,0
7,16,0
8,3,0
9,9,0
10,8,0
11,15,0
12,15,0
13,11,0
14,22,0
15,9,0
16,7,0
17,4,0
18,18,0
19,5,0
20,10,0
