batter,runs,balls,fours,sixes,strike_rate,dismissal
Manish Pandey,31,20,3,2,155.0,b Mustafizur
Jonny Bairstow,30,21,4,1,142.86,c Anuj Rawat b Rahul Tewatia
Kane Williamson,20,21,1,0,95.24,c Chris Morris b Kartik Tyagi
Vijay Shankar,8,8,1,0,100.0,c Miller b Chris Morris
Kedar Jadhav,19,19,0,1,100.0,b Chris Morris
Mohammad Nabi,17,5,1,2,340.0,c Anuj Rawat b Mustafizur
Abdul Samad,10,8,0,1,125.0,c Anuj Rawat b Chris Morris
Rashid Khan,0,2,0,0,0.0,c Chris Morris b Mustafizur
Bhuvneshwar Kumar,14,10,2,0,140.0,not out
Sandeep Sharma,8,6,1,0,133.33,not out
