batter,runs,balls,fours,sixes,strike_rate,dismissal
Rahul Dravid,1,4,0,0,25.0,c O Shah b S Sreesanth
Jacob Oram,0,3,0,0,0.0,b B Hodge
Shane Warne,2,9,0,0,22.22,b B Hodge
Shane Watson,20,13,0,3,153.85,b P Parameswaran
Shaun Tait,10,9,1,0,111.11,not out
Ajinkya Rahane,8,9,1,0,88.89,lbw b S Sreesanth
Faiz Fazal,16,15,2,0,106.67,lbw b RP Singh
Ankeet Chavan,1,3,0,0,33.33,run out (RP Singh/B Hodge)
Pinal Shah,5,5,1,0,100.0,c G Rao b B Hodge
Nayan Doshi,0,13,0,0,0.0,c M Jayawardene b P Parameswaran
Ashok Menaria,31,28,3,1,110.71,c O Shah b B Hodge
