batter,runs,balls,fours,sixes,strike_rate,dismissal
Dinesh Karthik,10,11,1,0,90.91,c DJ Bravo b I Pandey
AB de Villiers,14,10,0,2,140.0,run out (Dwayne Smith/Dhoni)
Virat Kohli,51,42,4,2,121.43,c Dwayne Smith b Nehra
Manvinder Bisla,17,14,3,0,121.43,c du Plessis b Nehra
Rilee Rossouw,14,9,1,1,155.56,b Nehra
Mitchell Starc,9,6,1,0,150.0,not out
Harshal Patel,0,1,0,0,0.0,c DJ Bravo b Nehra
David Wiese,22,20,2,1,110.0,c Dwayne Smith b DJ Bravo
Sarfaraz Khan,11,7,0,1,157.14,c Mohit Sharma b R Jadeja
