bowler,overs,maidens,runs,wickets,economy
Anil Kumble,4.0,0,12,2,3.0
Vinay Kumar,3.0,0,30,2,10.0
Praveen Kumar,3.4,0,35,1,10.29
Jacques Kallis,4.0,1,18,2,4.5
Roelof van der Merwe,4.0,0,29,1,7.25
Balachandra Akhil,1.0,0,2,0,2.0
