Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,8
Balls,0,0,114
Runs,0,0,89
Maidens,0,0,0
Wickets,0,0,3
Avg,0.0,0.0,29.67
Eco,0,0,4.68
SR,0.0,0.0,38.0
BBI,-/-,-/-,1/3
BBM,-/-,-/-,1/3
