over,runs,wickets
1,12,0
2,7,0
3,7,0
4,13,0
5,4,0
6,15,0
7,6,0
8,14,0
9,7,0
10,2,0
11,4,0
12,19,0
13,5,0
14,10,0
15,4,0
16,9,0
17,13,0
18,15,0
19,18,0
20,7,0
