batter,runs,balls,fours,sixes,strike_rate,dismissal
Ruturaj Gaikwad,0,1,0,0,0.0,c Yash Dayal b Maxwell
Rachin Ravindra,61,37,5,3,164.86,run out (Swapnil Singh/Karthik)
Daryl Mitchell,4,6,0,0,66.67,c Kohli b Yash Dayal
Ajinkya Rahane,33,22,3,1,150.0,c du Plessis b Lockie Ferguson
Shivam Dube,7,15,0,0,46.67,c Lockie Ferguson b Green
Ravindra Jadeja,42,22,3,3,190.91,not out
Mitchell Santner,3,4,0,0,75.0,c du Plessis b Siraj
MS Dhoni,25,13,3,1,192.31,c Swapnil Singh b Yash Dayal
Shardul Thakur,1,2,0,0,50.0,not out
