Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,17
Runs,0,0,90
Balls,0,0,133
Highest,0,0,15
Average,0,0,9
SR,0,0,67.67
Not Out,0,0,7
Fours,0,0,7
Sixes,0,0,0
Ducks,0,0,3
