Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,17
Balls,0,0,203
Runs,0,0,172
Maidens,0,0,2
Wickets,0,0,9
Avg,0.0,0.0,19.11
Eco,0,0,5.08
SR,0.0,0.0,22.56
BBI,-/-,-/-,3/5
BBM,-/-,-/-,3/5
