over,runs,wickets
1,6,0
2,9,0
3,9,0
4,12,0
5,11,0
6,8,0
7,4,0
8,9,0
9,4,0
10,16,0
11,5,0
12,6,0
13,9,0
14,9,0
15,3,0
16,5,0
17,2,0
18,18,0
19,17,0
20,3,0
