Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,21
Runs,0,0,106
Balls,0,0,277
Highest,0,0,21
Average,0,0,5.58
SR,0,0,38.27
Not Out,0,0,2
Fours,0,0,5
Sixes,0,0,0
Ducks,0,0,6
