Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,10
Balls,0,0,178
Runs,0,0,125
Maidens,0,0,1
Wickets,0,0,8
Avg,0.0,0.0,15.63
Eco,0,0,4.21
SR,0.0,0.0,22.25
BBI,-/-,-/-,2/8
BBM,-/-,-/-,2/8
