Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,3
Runs,0,0,13
Balls,0,0,29
Highest,0,0,10
Average,0,0,6.5
SR,0,0,44.83
Not Out,0,0,1
Fours,0,0,2
Sixes,0,0,0
Ducks,0,0,0
