Stat,Test,ODI,T20,IPL
Matches,85,90,20,208
Innings,144,87,20,193
Runs,5077,2962,375,5250
Balls,10256,3767,331,4190
Highest,188,111,61,105
Average,38.46,35.26,20.83,30.17
SR,49.51,78.64,113.30,125.30
Not Out,12,3,2,19
Fours,579,293,32,527
Sixes,35,33,6,135
Ducks,10,6,2,15
