bowler,overs,maidens,runs,wickets,economy
Jaydev Unadkat,4,1,30,5,7.5
Washington Sundar,3,0,19,0,6.3
Ben Stokes,4,0,30,3,7.5
Imran Tahir,4,0,24,1,6.0
Shardul Thakur,2,0,12,0,6.0
Daniel Christian,3,0,21,0,7.0
