Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,42
Balls,0,0,704
Runs,0,0,627
Maidens,0,0,3
Wickets,0,0,39
Avg,0.0,0.0,16.08
Eco,0,0,5.34
SR,0.0,0.0,18.05
BBI,-/-,-/-,6/3
BBM,-/-,-/-,6/3
