Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,82
Runs,0,0,1406
Balls,0,0,1580
Highest,0,0,67
Average,0,0,20.68
SR,0,0,88.99
Not Out,0,0,14
Fours,0,0,126
Sixes,0,0,6
Ducks,0,0,14
