batter,runs,balls,fours,sixes,strike_rate,dismissal
Abhishek Sharma,1,1,0,0,100.0,run out (Vipraj Nigam)
Head,22,12,4,0,183.33,c Rahul b Mitchell Starc
Ishan Kishan,2,5,0,0,40.0,c Stubbs b Mitchell Starc
Nitish Reddy,0,2,0,0,0.0,c Axar b Mitchell Starc
Aniket Verma,74,41,5,6,180.49,c Jake Fraser-McGurk b Kuldeep Yadav
Klaasen,32,19,2,2,168.42,c Vipraj Nigam b Mohit Sharma
Abhinav Manohar,4,6,0,0,66.67,c du Plessis b Kuldeep Yadav
Cummins,2,7,0,0,28.57,c Jake Fraser-McGurk b Kuldeep Yadav
Mulder,9,11,1,0,81.82,c du Plessis b Mitchell Starc
Harshal Patel,5,9,0,0,55.56,c Axar b Mitchell Starc
Shami,1,1,0,0,100.0,not out
