Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,13
Balls,0,0,231
Runs,0,0,182
Maidens,0,0,0
Wickets,0,0,12
Avg,0.0,0.0,15.17
Eco,0,0,4.73
SR,0.0,0.0,19.25
BBI,-/-,-/-,4/16
BBM,-/-,-/-,4/16
