over,runs,wickets
1,0,0
2,12,0
3,2,0
4,4,0
5,13,0
6,6,0
7,6,0
8,13,0
9,18,0
10,5,0
11,4,0
12,3,0
13,12,0
14,6,0
15,5,0
16,6,0
17,8,0
18,6,0
19,17,0
20,8,0
