Stat,Test,ODI,T20,IPL
Matches,105,130,65,54
Innings,154,77,21,25
Runs,2478,583,98,111
Balls,4177,756,100,121
Highest,99,52,14,29
Average,20.48,11.66,9.8,9.25
SR,59.33,77.12,98.00,91.74
Not Out,33,27,11,13
Fours,254,43,4,11
Sixes,49,14,2,0
Ducks,17,12,0,4
