Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
ICC WORLD TEST CHAMPIONSHIP FINAL 2023,2-71 & 2-77,IND,Test,London,07 Jun 23,5.3 & 5.5,13.4 & 14,0 & 1
"AUSTRALIA TOUR OF INDIA, 2023",0-67,IND,ODI,Chennai,22 Mar 23,6.7,10,0
"AUSTRALIA TOUR OF INDIA, 2023",5-53,IND,ODI,Visakhapatnam,19 Mar 23,6.6,8,1
"AUSTRALIA TOUR OF INDIA, 2023",3-49,IND,ODI,Mumbai,17 Mar 23,5.1,9.5,0
"AUSTRALIA TOUR OF INDIA, 2023",1-97 & DNB,IND,Test,Ahmedabad,09 Mar 23,4.4 & DNB,22 & DNB,3 & DNB
"AUSTRALIA TOUR OF INDIA, 2023",0-21 & 1-14,IND,Test,Indore,01 Mar 23,4.2 & 2,5 & 7,0 & 1
"SOUTH AFRICA TOUR OF AUSTRALIA, 2022-23",2-39 & 1-62,RSA,Test,Melbourne,26 Dec 22,3 & 3.4,13 & 18,2 & 4
"SOUTH AFRICA TOUR OF AUSTRALIA, 2022-23",3-41 & 2-26,RSA,Test,Brisbane,17 Dec 22,2.9 & 2.3,14 & 11,1 & 3
"WEST INDIES TOUR OF AUSTRALIA, 2022",2-48 & 3-29,WI,Test,Adelaide,08 Dec 22,3.1 & 2.9,15.3 & 10,4 & 4
"WEST INDIES TOUR OF AUSTRALIA, 2022",3-51 & 1-65,WI,Test,Perth,30 Nov 22,2.3 & 2.8,22 & 23,7 & 4
"ENGLAND TOUR OF AUSTRALIA, 2022",4-47,ENG,ODI,Sydney,19 Nov 22,5.8,8,1
"ENGLAND TOUR OF AUSTRALIA, 2022",1-45,ENG,ODI,Adelaide,17 Nov 22,4.5,10,0
ICC MENS T20 WORLD CUP 2022,2-43,IRE,T20I,Brisbane,31 Oct 22,10.7,4,1
ICC MENS T20 WORLD CUP 2022,1-23,SL,T20I,Perth,25 Oct 22,5.7,4,0
ICC MENS T20 WORLD CUP 2022,0-36,NZ,T20I,Sydney,22 Oct 22,9,4,0
"ENGLAND TOUR OF AUSTRALIA, 2022",0-11,ENG,T20I,Canberra,14 Oct 22,5.5,2,0
"ENGLAND TOUR OF AUSTRALIA, 2022",1-42,ENG,T20I,Canberra,12 Oct 22,10.5,4,0
"WEST INDIES TOUR OF AUSTRALIA, 2022",4-20,WI,T20I,Brisbane,07 Oct 22,5,4,0
"WEST INDIES TOUR OF AUSTRALIA, 2022",2-40,WI,T20I,Queensland,05 Oct 22,10,4,0
"NEW ZEALAND TOUR OF AUSTRALIA, 2022",3-60,NZ,ODI,Cairns,11 Sep 22,6.3,9.5,0
"NEW ZEALAND TOUR OF AUSTRALIA, 2022",2-12,NZ,ODI,Cairns,08 Sep 22,1.7,7,0
"NEW ZEALAND TOUR OF AUSTRALIA, 2022",1-43,NZ,ODI,Cairns,06 Sep 22,4.7,9,2
"ZIMBABWE TOUR OF AUSTRALIA, 2022",1-33,ZIM,ODI,Townsville,03 Sep 22,4.1,8,0
"ZIMBABWE TOUR OF AUSTRALIA, 2022",3-24,ZIM,ODI,Townsville,31 Aug 22,3,8,1
"ZIMBABWE TOUR OF AUSTRALIA, 2022",1-27,ZIM,ODI,Townsville,28 Aug 22,3.2,8.3,1
"AUSTRALIA TOUR OF SRI LANKA, 2022",4-89 & DNB,SL,Test,Galle,08 Jul 22,3 & DNB,29 & DNB,3 & DNB
"AUSTRALIA TOUR OF SRI LANKA, 2022",1-31 & 0-23,SL,Test,Galle,29 Jun 22,3.4 & 11.5,9 & 2,0 & 0
"AUSTRALIA TOUR OF SRI LANKA, 2022",3-26,SL,T20I,Colombo,07 Jun 22,6.5,4,0
"AUSTRALIA TOUR OF PAKISTAN, 2022",4-33 & 1-53,PAK,Test,Lahore,21 Mar 22,1.6 & 3.1,20.4 & 17,6 & 6
"AUSTRALIA TOUR OF PAKISTAN, 2022",3-29 & 0-58,PAK,Test,Karachi,12 Mar 22,2.2 & 2.7,13 & 21,5 & 6
"AUSTRALIA TOUR OF PAKISTAN, 2022",0-71 & 0-29,PAK,Test,Rawalpindi,04 Mar 22,2.9 & 4.1,24 & 7,5 & 1
"SRI LANKA TOUR OF AUSTRALIA, 2022",0-30,SL,T20I,Canberra,15 Feb 22,7.5,4,0
"SRI LANKA TOUR OF AUSTRALIA, 2022",0-41,SL,T20I,Sydney,11 Feb 22,10.2,4,0
"THE ASHES, 2021-22",3-53 & 1-30,ENG,Test,Hobart,14 Jan 22,5.3 & 3.7,10 & 8,1 & 0
"THE ASHES, 2021-22",1-56 & 0-68,ENG,Test,Sydney,05 Jan 22,3.5 & 3.7,16 & 18,2 & 2
"THE ASHES, 2021-22",2-54 & 3-29,ENG,Test,Melbourne,26 Dec 21,3.6 & 2.9,15 & 10,3 & 3
"THE ASHES, 2021-22",4-37 & 2-43,ENG,Test,Adelaide,16 Dec 21,2.3 & 1.5,16.1 & 27,6 & 10
"THE ASHES, 2021-22",2-35 & 1-77,ENG,Test,Brisbane,08 Dec 21,2.9 & 3.8,12 & 20,2 & 3
ICC MENS T20 WORLD CUP 2021,0-60,NZ,T20I,Dubai,14 Nov 21,15,4,0
ICC MENS T20 WORLD CUP 2021,2-38,PAK,T20I,Dubai,11 Nov 21,9.5,4,0
ICC MENS T20 WORLD CUP 2021,1-33,WI,T20I,Abu Dhabi,06 Nov 21,8.2,4,0
ICC MENS T20 WORLD CUP 2021,2-21,BAN,T20I,Dubai,04 Nov 21,5.2,4,0
ICC MENS T20 WORLD CUP 2021,0-37,ENG,T20I,Dubai,30 Oct 21,12.3,3,0
ICC MENS T20 WORLD CUP 2021,2-27,SL,T20I,Dubai,28 Oct 21,6.7,4,0
ICC MENS T20 WORLD CUP 2021,2-32,RSA,T20I,Abu Dhabi,23 Oct 21,8,4,0
"AUSTRALIA TOUR OF BANGLADESH, 2021",1-28,BAN,T20I,Dhaka,04 Aug 21,9.3,3,0
"AUSTRALIA TOUR OF BANGLADESH, 2021",2-33,BAN,T20I,Dhaka,03 Aug 21,8.2,4,0
"AUSTRALIA TOUR OF WEST INDIES, 2021",3-43,WI,ODI,"Bridgetown, Barbados",26 Jul 21,4.7,9.1,0
"AUSTRALIA TOUR OF WEST INDIES, 2021",3-26,WI,ODI,"Bridgetown, Barbados",24 Jul 21,2.6,10,1
"AUSTRALIA TOUR OF WEST INDIES, 2021",5-48,WI,ODI,"Bridgetown, Barbados",20 Jul 21,6,8,1
"AUSTRALIA TOUR OF WEST INDIES, 2021",0-37,WI,T20I,"Gros Islet, St Lucia",14 Jul 21,9.2,4,0
"AUSTRALIA TOUR OF WEST INDIES, 2021",1-15,WI,T20I,"Gros Islet, St Lucia",12 Jul 21,3.7,4,0
"AUSTRALIA TOUR OF WEST INDIES, 2021",0-49,WI,T20I,"Gros Islet, St Lucia",10 Jul 21,12.2,4,0
"AUSTRALIA TOUR OF WEST INDIES, 2021",0-40,WI,T20I,"Gros Islet, St Lucia",09 Jul 21,10,4,0
"INDIA TOUR OF AUSTRALIA, 2020-21",2-88 & 0-75,IND,Test,Brisbane,15 Jan 21,3.8 & 4.6,23 & 16,3 & 0
"INDIA TOUR OF AUSTRALIA, 2020-21",1-61 & 0-66,IND,Test,Sydney,07 Jan 21,3.2 & 3,19 & 22,7 & 6
"INDIA TOUR OF AUSTRALIA, 2020-21",3-78 & 1-20,IND,Test,Melbourne,26 Dec 20,3 & 5,26 & 4,5 & 0
"INDIA TOUR OF AUSTRALIA, 2020-21",4-53 & 0-7,IND,Test,Adelaide,17 Dec 20,2.5 & 1.1,21 & 6,5 & 3
"INDIA TOUR OF AUSTRALIA, 2020-21",2-34,IND,T20I,Canberra,04 Dec 20,8.5,4,0
"INDIA TOUR OF AUSTRALIA, 2020-21",0-82,IND,ODI,Sydney,29 Nov 20,9.1,9,0
"INDIA TOUR OF AUSTRALIA, 2020-21",1-65,IND,ODI,Sydney,27 Nov 20,7.2,9,0
"AUSTRALIA TOUR OF ENGLAND, 2020",3-74,ENG,ODI,Manchester,16 Sep 20,7.4,10,0
"AUSTRALIA TOUR OF ENGLAND, 2020",2-38,ENG,ODI,Manchester,13 Sep 20,3.8,10,1
"AUSTRALIA TOUR OF ENGLAND, 2020",0-47,ENG,ODI,Manchester,11 Sep 20,4.7,10,0
"AUSTRALIA TOUR OF ENGLAND, 2020",1-20,ENG,T20I,Southampton,08 Sep 20,5,4,0
"AUSTRALIA TOUR OF ENGLAND, 2020",1-25,ENG,T20I,Southampton,06 Sep 20,6.2,4,0
"AUSTRALIA TOUR OF ENGLAND, 2020",0-30,ENG,T20I,Southampton,04 Sep 20,10,3,0
"NEW ZEALAND TOUR OF AUSTRALIA, 2020",0-33,NZ,ODI,Sydney,13 Mar 20,4.7,7,0
"AUSTRALIA TOUR OF SOUTH AFRICA, 2020",1-53,RSA,ODI,Bloemfontein,04 Mar 20,5.7,9.3,0
"AUSTRALIA TOUR OF SOUTH AFRICA, 2020",2-59,RSA,ODI,Paarl,29 Feb 20,5.9,10,0
"AUSTRALIA TOUR OF SOUTH AFRICA, 2020",3-23,RSA,T20I,Cape Town,26 Feb 20,10,2.3,0
"AUSTRALIA TOUR OF SOUTH AFRICA, 2020",0-38,RSA,T20I,Gqeberha,23 Feb 20,9.5,4,0
"AUSTRALIA TOUR OF SOUTH AFRICA, 2020",1-23,RSA,T20I,Johannesburg,21 Feb 20,7.6,3,0
"AUSTRALIA TOUR OF INDIA, 2020",0-66,IND,ODI,Bengaluru,19 Jan 20,7.3,9,0
"AUSTRALIA TOUR OF INDIA, 2020",0-78,IND,ODI,Rajkot,17 Jan 20,7.8,10,0
"AUSTRALIA TOUR OF INDIA, 2020",3-56,IND,ODI,Mumbai,14 Jan 20,5.6,10,0
"NEW ZEALAND TOUR OF AUSTRALIA, 2019-20",1-57 & 3-25,NZ,Test,Sydney,03 Jan 20,2.7 & 2.7,21 & 9,1 & 3
"NEW ZEALAND TOUR OF AUSTRALIA, 2019-20",2-30 & 0-59,NZ,Test,Melbourne,26 Dec 19,2.4 & 3.9,12.5 & 15,4 & 3
"NEW ZEALAND TOUR OF AUSTRALIA, 2019-20",5-52 & 4-45,NZ,Test,Perth,12 Dec 19,2.8 & 3.2,18 & 14,2 & 5
"PAKISTAN TOUR OF AUSTRALIA, 2019",6-66 & 1-47,PAK,Test,Adelaide,29 Nov 19,2.6 & 2.9,25 & 16,6 & 3
"PAKISTAN TOUR OF AUSTRALIA, 2019",4-52 & 3-73,PAK,Test,Brisbane,21 Nov 19,2.8 & 4.5,18.2 & 16.2,5 & 1
"PAKISTAN TOUR OF AUSTRALIA, 2019",2-29,PAK,T20I,Perth,08 Nov 19,7.2,4,0
"PAKISTAN TOUR OF AUSTRALIA, 2019",0-25,PAK,T20I,Canberra,05 Nov 19,6.2,4,0
"PAKISTAN TOUR OF AUSTRALIA, 2019",2-22,PAK,T20I,Sydney,03 Nov 19,7.3,3,0
"SRI LANKA TOUR OF AUSTRALIA, 2019",2-32,SL,T20I,Melbourne,01 Nov 19,8,4,0
"SRI LANKA TOUR OF AUSTRALIA, 2019",2-18,SL,T20I,Adelaide,27 Oct 19,4.5,4,0
THE ASHES 2019,3-80 & 1-46,ENG,Test,Manchester,04 Sep 19,3.6 & 2.8,22 & 16,7 & 2
ICC CRICKET WORLD CUP 2019,1-70,ENG,ODI,Birmingham,11 Jul 19,7.7,9,0
ICC CRICKET WORLD CUP 2019,2-59,RSA,ODI,Manchester,06 Jul 19,6.5,9,0
ICC CRICKET WORLD CUP 2019,5-26,NZ,ODI,London,29 Jun 19,2.7,9.4,1
ICC CRICKET WORLD CUP 2019,4-43,ENG,ODI,London,25 Jun 19,5.1,8.4,1
ICC CRICKET WORLD CUP 2019,2-55,BAN,ODI,Nottingham,20 Jun 19,5.5,10,0
ICC CRICKET WORLD CUP 2019,4-55,SL,ODI,London,15 Jun 19,5.5,10,0
ICC CRICKET WORLD CUP 2019,2-43,PAK,ODI,Taunton,12 Jun 19,4.7,9,1
ICC CRICKET WORLD CUP 2019,1-74,IND,ODI,London,09 Jun 19,7.4,10,0
ICC CRICKET WORLD CUP 2019,5-46,WI,ODI,Nottingham,06 Jun 19,4.6,10,1
ICC CRICKET WORLD CUP 2019,1-31,AFG,ODI,Bristol,01 Jun 19,4.4,7,1
"SRI LANKA TOUR OF AUSTRALIA, 2019",5-54 & 5-46,SL,Test,Canberra,01 Feb 19,4 & 2.5,13.3 & 18,2 & 2
"SRI LANKA TOUR OF AUSTRALIA, 2019",2-41 & 0-56,SL,Test,Brisbane,24 Jan 19,3.4 & 4,12 & 14,2 & 1
"INDIA TOUR OF AUSTRALIA, 2018-19",1-123 & DNB,IND,Test,Sydney,03 Jan 19,4.7 & DNB,26 & DNB,0 & DNB
"INDIA TOUR OF AUSTRALIA, 2018-19",2-87 & 0-11,IND,Test,Melbourne,26 Dec 18,3.1 & 3.6,28 & 3,7 & 1
"INDIA TOUR OF AUSTRALIA, 2018-19",2-79 & 3-46,IND,Test,Perth,14 Dec 18,3.2 & 2.7,24 & 17,4 & 3
"INDIA TOUR OF AUSTRALIA, 2018-19",2-63 & 3-40,IND,Test,Adelaide,06 Dec 18,3.3 & 1.8,19 & 21.5,4 & 7
"INDIA TOUR OF AUSTRALIA, 2018-19",1-26,IND,T20I,Sydney,25 Nov 18,6.5,4,0
"SOUTH AFRICA TOUR OF AUSTRALIA, 2018",2-57,RSA,ODI,Hobart,11 Nov 18,5.7,10,1
"SOUTH AFRICA TOUR OF AUSTRALIA, 2018",2-51,RSA,ODI,Adelaide,09 Nov 18,5.1,10,1
"SOUTH AFRICA TOUR OF AUSTRALIA, 2018",0-47,RSA,ODI,Perth,04 Nov 18,5.8,8,0
"AUSTRALIA V PAKISTAN IN UAE, 2018",2-37 & 1-32,PAK,Test,Abu Dhabi,16 Oct 18,3 & 4.5,12 & 7,3 & 0
"AUSTRALIA V PAKISTAN IN UAE, 2018",1-90 & 0-18,PAK,Test,Dubai,07 Oct 18,2.4 & 3,36.2 & 6,11 & 1
"AUSTRALIA TOUR OF SOUTH AFRICA, 2018",1-81 & 1-98,RSA,Test,Cape Town,22 Mar 18,3.8 & 4.2,21 & 23,3 & 5
"AUSTRALIA TOUR OF SOUTH AFRICA, 2018",1-110 & 0-15,RSA,Test,Gqeberha,09 Mar 18,3.2 & 5,33.4 & 3,5 & 0
"AUSTRALIA TOUR OF SOUTH AFRICA, 2018",5-34 & 4-75,RSA,Test,Durban,01 Mar 18,3.2 & 4.1,10.4 & 18,3 & 2
"ENGLAND TOUR OF AUSTRALIA, 2018",1-63,ENG,ODI,Perth,28 Jan 18,7,9,0
"ENGLAND TOUR OF AUSTRALIA, 2018",0-63,ENG,ODI,Sydney,21 Jan 18,6.3,10,0
"ENGLAND TOUR OF AUSTRALIA, 2018",4-59,ENG,ODI,Brisbane,19 Jan 18,5.9,10,0
"ENGLAND TOUR OF AUSTRALIA, 2018",2-71,ENG,ODI,Melbourne,14 Jan 18,7.1,10,0
"THE ASHES, 2017-18",2-80 & 1-38,ENG,Test,Sydney,04 Jan 18,3.8 & 2.3,21 & 16,6 & 4
"THE ASHES, 2017-18",4-91 & 1-44,ENG,Test,Perth,14 Dec 17,3.6 & 2.5,25.1 & 17,5 & 5
"THE ASHES, 2017-18",3-49 & 5-88,ENG,Test,Adelaide,02 Dec 17,2.4 & 4.5,20 & 19.2,4 & 3
"THE ASHES, 2017-18",3-77 & 3-51,ENG,Test,Brisbane,23 Nov 17,2.7 & 3.1,28 & 16,4 & 1
"ICC CHAMPIONS TROPHY, 2017",1-52,ENG,ODI,Birmingham,10 Jun 17,5.2,10,0
"ICC CHAMPIONS TROPHY, 2017",4-29,BAN,ODI,London,05 Jun 17,3.4,8.3,2
"ICC CHAMPIONS TROPHY, 2017",0-52,NZ,ODI,Birmingham,02 Jun 17,5.7,9,0
"AUSTRALIA TEST TOUR OF INDIA, 2017",1-39 & 2-74,IND,Test,Bengaluru,04 Mar 17,2.6 & 4.6,15 & 16,5 & 1
"AUSTRALIA TEST TOUR OF INDIA, 2017",2-38 & 0-0,IND,Test,Pune,23 Feb 17,4.2 & 0,9 & 2,2 & 2
"AUSTRALIA TOUR OF NEW ZEALAND, 2017",3-63,NZ,ODI,Hamilton,05 Feb 17,6.3,10,1
"AUSTRALIA TOUR OF NEW ZEALAND, 2017",1-59,NZ,ODI,Auckland,30 Jan 17,5.9,10,0
"PAKISTAN TOUR OF AUSTRALIA, 2016-17",4-42,PAK,ODI,Adelaide,26 Jan 17,4.6,9.1,1
"PAKISTAN TOUR OF AUSTRALIA, 2016-17",1-42,PAK,ODI,Sydney,22 Jan 17,6,7,0
"PAKISTAN TOUR OF AUSTRALIA, 2016-17",2-45,PAK,ODI,Melbourne,15 Jan 17,4.5,10,1
"PAKISTAN TOUR OF AUSTRALIA, 2016-17",2-34,PAK,ODI,Brisbane,13 Jan 17,4.2,8,0
"PAKISTAN TOUR OF AUSTRALIA, 2016-17",1-77 & 1-57,PAK,Test,Sydney,03 Jan 17,2.9 & 3.3,26 & 17,7 & 2
"PAKISTAN TOUR OF AUSTRALIA, 2016-17",1-125 & 4-36,PAK,Test,Melbourne,26 Dec 16,4 & 2.3,31 & 15.2,6 & 4
"PAKISTAN TOUR OF AUSTRALIA, 2016-17",3-63 & 4-119,PAK,Test,Brisbane,15 Dec 16,3.5 & 3.1,18 & 38,2 & 10
"NEW ZEALAND TOUR OF AUSTRALIA, 2016",3-34,NZ,ODI,Melbourne,09 Dec 16,3.4,10,3
"NEW ZEALAND TOUR OF AUSTRALIA, 2016",2-52,NZ,ODI,Canberra,06 Dec 16,5.2,10,0
"NEW ZEALAND TOUR OF AUSTRALIA, 2016",1-37,NZ,ODI,Sydney,04 Dec 16,5.2,7,1
"SOUTH AFRICA TOUR OF AUSTRALIA, 2016",2-78 & 4-80,RSA,Test,Adelaide,24 Nov 16,3.3 & 3.4,23 & 23.2,5 & 5
"SOUTH AFRICA TOUR OF AUSTRALIA, 2016",3-79 & DNB,RSA,Test,Hobart,12 Nov 16,3.2 & DNB,24 & DNB,1 & DNB
"SOUTH AFRICA TOUR OF AUSTRALIA, 2016",4-71 & 1-114,RSA,Test,Perth,03 Nov 16,3.8 & 3.6,18.4 & 31,2 & 8
"AUSTRALIA TOUR OF SRI LANKA, 2016",1-32,SL,T20I,Colombo,09 Sep 16,8,4,0
"AUSTRALIA TOUR OF SRI LANKA, 2016",3-26,SL,T20I,Pallekele,06 Sep 16,6.5,4,0
"AUSTRALIA TOUR OF SRI LANKA, 2016",3-40,SL,ODI,Pallekele,04 Sep 16,4.4,9,0
"AUSTRALIA TOUR OF SRI LANKA, 2016",1-51,SL,ODI,Dambulla,31 Aug 16,5.1,10,1
"AUSTRALIA TOUR OF SRI LANKA, 2016",2-42,SL,ODI,Dambulla,28 Aug 16,4.2,10,0
"AUSTRALIA TOUR OF SRI LANKA, 2016",3-53,SL,ODI,Colombo,24 Aug 16,5.5,9.5,0
"AUSTRALIA TOUR OF SRI LANKA, 2016",3-32,SL,ODI,Colombo,21 Aug 16,3.2,10,1
"AUSTRALIA TOUR OF SRI LANKA, 2016",5-63 & 2-72,SL,Test,Colombo,13 Aug 16,2.5 & 3.7,25.1 & 19.3,11 & 4
"AUSTRALIA TOUR OF SRI LANKA, 2016",5-44 & 6-50,SL,Test,Galle,04 Aug 16,2.7 & 4,16.1 & 12.3,7 & 1
"AUSTRALIA TOUR OF SRI LANKA, 2016",2-51 & 4-84,SL,Test,Pallekele,26 Jul 16,4.6 & 4.4,11 & 19,1 & 4
"AUSTRALIA AND SOUTH AFRICA IN WEST INDIES TRI-SERIES, 2016",0-32,WI,ODI,"Bridgetown, Barbados",26 Jun 16,4,8,0
"AUSTRALIA AND SOUTH AFRICA IN WEST INDIES TRI-SERIES, 2016",3-51,WI,ODI,"Bridgetown, Barbados",21 Jun 16,5.1,10,1
"AUSTRALIA AND SOUTH AFRICA IN WEST INDIES TRI-SERIES, 2016",0-8,RSA,ODI,"Bridgetown, Barbados",19 Jun 16,8,1,0
"AUSTRALIA AND SOUTH AFRICA IN WEST INDIES TRI-SERIES, 2016",3-43,RSA,ODI,"Basseterre, St Kitts",11 Jun 16,4.3,10,0
"AUSTRALIA AND SOUTH AFRICA IN WEST INDIES TRI-SERIES, 2016",2-37,WI,ODI,Guyana,05 Jun 16,4.1,9,0
"NEW ZEALAND TOUR OF AUSTRALIA, 2015",3-24 & DNB,NZ,Test,Adelaide,27 Nov 15,2.6 & DNB,9 & DNB,3 & DNB
"NEW ZEALAND TOUR OF AUSTRALIA, 2015",4-119 & 0-33,NZ,Test,Perth,13 Nov 15,3.2 & 5.5,37 & 6,7 & 1
