Stat,Test,ODI,T20,IPL
Matches,105,130,65,54
Innings,202,130,65,52
Balls,20013,6638,1458,1113
Runs,11481,5827,1881,1604
Maidens,622,56,2,1
Wickets,433,247,79,68
Avg,26.52,23.59,23.81,23.59
Eco,3.44,5.27,7.74,8.65
SR,46.22,26.87,18.46,16.37
BBI,7/58,6/28,4/20,5/35
BBM,11/94,6/28,4/20,5/35
