Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,70
Balls,0,0,1325
Runs,0,0,1050
Maidens,0,0,7
Wickets,0,0,54
Avg,0.0,0.0,19.44
Eco,0,0,4.75
SR,0.0,0.0,24.54
BBI,-/-,-/-,4/14
BBM,-/-,-/-,4/14
