Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,34
Runs,0,0,225
Balls,0,0,351
Highest,0,0,26
Average,0,0,8.33
SR,0,0,64.11
Not Out,0,0,7
Fours,0,0,13
Sixes,0,0,1
Ducks,0,0,6
