bowler,overs,maidens,runs,wickets,economy
Sreenath Aravind,3.0,0,32,1,10.67
Parvez Rasool,3.0,0,28,0,9.33
Shane Watson,4.0,0,25,2,6.25
Yuzvendra Chahal,2.1,0,23,0,10.95
David Wiese,4.0,0,49,0,12.25
Harshal Patel,3.0,0,32,0,10.67
