Stat,Test,ODI,T20,IPL
Matches,0,0,0,19
Innings,0,0,0,7
Runs,0,0,0,40
Balls,0,0,0,40
Highest,0,0,0,10
Average,0,0,0,8
SR,0,0,0,100.00
Not Out,0,0,0,2
Fours,0,0,0,5
Sixes,0,0,0,0
Ducks,0,0,0,0
