Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,41
Runs,0,0,187
Balls,0,0,307
Highest,0,0,25
Average,0,0,6.45
SR,0,0,60.92
Not Out,0,0,12
Fours,0,0,10
Sixes,0,0,0
Ducks,0,0,7
