Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,41
Balls,0,0,698
Runs,0,0,620
Maidens,0,0,6
Wickets,0,0,35
Avg,0.0,0.0,17.71
Eco,0,0,5.33
SR,0.0,0.0,19.94
BBI,-/-,-/-,4/11
BBM,-/-,-/-,4/11
