batter,runs,balls,fours,sixes,strike_rate,dismissal
Kumar Sangakkara,4,4,1,0,100.0,c S Watson b J Faulkner
Daren Sammy,60,41,8,1,146.34,lbw b J Faulkner
Dale Steyn,18,8,2,1,225.0,not out
Shikhar Dhawan,0,2,0,0,0.0,c A Rahane b J Faulkner
Amit Mishra,21,28,2,0,75.0,c K Cooper b J Faulkner
Karn Sharma,6,8,1,0,75.0,c B Hodge b J Faulkner
Thisara Perera,4,4,1,0,100.0,c K Cooper b A Chandila
Ashish Reddy,14,11,1,0,127.27,c A Rahane b S Binny
Akshath Reddy,2,5,0,0,40.0,c S Watson b A Chandila
Hanuma Vihari,4,9,0,0,44.44,c D Yagnik b K Cooper
