batter,runs,balls,fours,sixes,strike_rate,dismissal
Rachin Ravindra,41,31,5,0,132.26,b Yash Dayal
Rahul Tripathi,5,3,1,0,166.67,c Phil Salt b Hazlewood
Ruturaj Gaikwad,0,4,0,0,0.0,c (sub)Manoj Bhandage b Hazlewood
Deepak Hooda,4,9,1,0,44.44,c Jitesh Sharma b Bhuvneshwar
Sam Curran,8,13,0,0,61.54,c Krunal Pandya b Livingstone
Shivam Dube,19,15,2,1,126.67,b Yash Dayal
Ravindra Jadeja,25,19,2,1,131.58,c Phil Salt b Hazlewood
Ravichandran Ashwin,11,8,1,0,137.5,c Phil Salt b Livingstone
MS Dhoni,30,16,3,2,187.5,not out
Noor Ahmad,0,2,0,0,0.0,not out
