Stat,Test,ODI,T20,IPL
Matches,0,13,25,99
Innings,0,9,7,18
Runs,0,203,53,123
Balls,0,207,28,89
Highest,0,69,31,39
Average,0,33.83,26.5,15.38
SR,0,98.07,189.29,138.21
Not Out,0,3,5,10
Fours,0,17,4,6
Sixes,0,8,4,8
Ducks,0,1,1,4
