bowler,overs,maidens,runs,wickets,economy
Ravi Rampaul,4,0,35,1,8.75
RP Singh,4,0,40,1,10.0
Jaydev Unadkat,4,0,32,0,8.0
Vinay Kumar,4,0,38,1,9.5
JS Mohammad,4,0,43,1,10.75
