batter,runs,balls,fours,sixes,strike_rate,dismissal
Mayank Agarwal,25,17,2,2,147.06,c Rahul b Chameera
Shikhar Dhawan,5,15,0,0,33.33,b Ravi Bishnoi
Jonny Bairstow,32,28,5,0,114.29,c Krunal Pandya b Chameera
Bhanuka Rajapaksa,9,7,1,0,128.57,c Rahul b Krunal Pandya
Liam Livingstone,18,16,0,2,112.5,c de Kock b Mohsin Khan
Jitesh Sharma,2,5,0,0,40.0,lbw b Krunal Pandya
Rishi Dhawan,21,22,3,1,95.45,not out
Kagiso Rabada,2,5,0,0,40.0,c Ayush Badoni b Mohsin Khan
Rahul Chahar,4,4,1,0,100.0,c Ayush Badoni b Mohsin Khan
Arshdeep Singh,0,2,0,0,0.0,not out
