batter,runs,balls,fours,sixes,strike_rate,dismissal
Rahmanullah Gurbaz,15,12,1,1,125.0,c Yash Dayal b Shami
N Jagadeesan,6,8,1,0,75.0,c Abhinav Manohar b Joshua Little
Venkatesh Iyer,83,40,8,5,207.5,c Shubman Gill b Alzarri Joseph
Nitish Rana,45,29,4,3,155.17,c Shami b Alzarri Joseph
Rinku Singh,48,21,1,6,228.57,not out
Andre Russell,1,2,0,0,50.0,c (sub)Srikar Bharat b Rashid Khan
Sunil Narine,0,1,0,0,0.0,c (sub)Jayant Yadav b Rashid Khan
Shardul Thakur,0,1,0,0,0.0,lbw b Rashid Khan
Umesh Yadav,5,6,0,0,83.33,not out
