Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,18
Runs,0,0,106
Balls,0,0,257
Highest,0,0,25
Average,0,0,7.07
SR,0,0,41.25
Not Out,0,0,3
Fours,0,0,4
Sixes,0,0,0
Ducks,0,0,2
