Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,2
Balls,0,0,12
Runs,0,0,29
Maidens,0,0,0
Wickets,0,0,0
Avg,0.0,0.0,0.0
Eco,0,0,14.5
SR,0.0,0.0,0.0
BBI,-/-,-/-,0/10
BBM,-/-,-/-,0/10
