Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,1
Runs,0,0,2
Balls,0,0,6
Highest,0,0,2
Average,0,0,2
SR,0,0,33.34
Not Out,0,0,0
Fours,0,0,0
Sixes,0,0,0
Ducks,0,0,0
