batter,runs,balls,fours,sixes,strike_rate,dismissal
Shane Warne,1,4,0,0,25.0,run out (Singh)
Shane Watson,58,36,3,3,161.11,c Anirudh Singh b Singh
Morne Morkel,7,7,1,0,100.0,not out
Yusuf Pathan,5,7,0,0,71.43,c Laxman b Harris
Siddharth Trivedi,9,6,2,0,150.0,b Smith
Faiz Fazal,36,29,4,0,124.14,c Bilakhia b Ojha
Naman Ojha,1,5,0,0,20.0,c Harris b Singh
Aditya Dole,4,4,1,0,100.0,c Symonds b Harris
Abhishek Raut,0,3,0,0,0.0,lbw b Harmeet Singh
Michael Lumb,15,10,2,1,150.0,c Harris b Singh
Abhishek Jhunjhunwala,11,8,1,0,137.5,c Laxman b Harmeet Singh
