Stat,Test,ODI,T20,IPL
Matches,50,86,77,67
Innings,92,82,73,65
Runs,3192,2708,1966,1665
Balls,5407,2766,1332,1226
Highest,152,175,86,68
Average,35.47,37.1,31.71,30.83
SR,59.04,97.91,147.60,135.81
Not Out,2,9,11,11
Fours,452,275,183,131
Sixes,16,62,83,68
Ducks,7,6,2,3
