Stat,Test,ODI,T20,IPL
Matches,50,86,77,67
Innings,28,43,39,23
Balls,627,1252,408,221
Runs,315,1227,603,343
Maidens,11,2,2,0
Wickets,6,20,16,6
Avg,52.5,61.35,37.69,57.17
Eco,3.01,5.88,8.87,9.31
SR,104.5,62.6,25.5,36.83
BBI,2/27,2/18,3/21,2/30
BBM,2/10,2/18,3/21,2/30
