bowler,overs,maidens,runs,wickets,economy
Praveen Kumar,2,0,12,0,6.0
Shadab Jakati,4,0,40,0,10.0
Pravin Tambe,4,0,33,2,8.25
Dwayne Bravo,4,0,43,1,10.75
Ravindra Jadeja,4,0,18,2,4.5
James Faulkner,2,0,15,0,7.5
