Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,42
Runs,0,0,240
Balls,0,0,365
Highest,0,0,23
Average,0,0,9.6
SR,0,0,65.76
Not Out,0,0,17
Fours,0,0,6
Sixes,0,0,0
Ducks,0,0,3
