Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
WOMENS T20I QUADRANGULAR SERIES IN NAMIBIA 2023,25(28),UGAW,T20I,Windhoek,30 Apr 23,89.2,1,1
WOMENS T20I QUADRANGULAR SERIES IN NAMIBIA 2023,3(2),NAMW,T20I,Windhoek,28 Apr 23,150,0,0
WOMENS T20I QUADRANGULAR SERIES IN NAMIBIA 2023,17(28),UGAW,T20I,Windhoek,27 Apr 23,60.7,0,0
WOMENS T20I QUADRANGULAR SERIES IN NAMIBIA 2023,4(2),UAEW,T20I,Windhoek,26 Apr 23,200,1,0
WOMENS T20I QUADRANGULAR SERIES IN NAMIBIA 2023,6(20),NAMW,T20I,Windhoek,25 Apr 23,30,0,0
"WOMENS EAST ASIA CUP, 2022",13(15),JPNW,T20I,"Sano, Kanto",27 Oct 22,86.6,0,0
ACC WOMENS T20 CHAMPIONSHIP 2022,19(10),MLYW,T20I,Kuala Lumpur,24 Jun 22,190,3,0
ACC WOMENS T20 CHAMPIONSHIP 2022,19(34),KUWW,T20I,"Bangi, Malaysia",22 Jun 22,55.8,2,0
ACC WOMENS T20 CHAMPIONSHIP 2022,17(14),NEPW,T20I,Kuala Lumpur,21 Jun 22,121.4,2,0
ACC WOMENS T20 CHAMPIONSHIP 2022,23*(19),BHRW,T20I,Kuala Lumpur,19 Jun 22,121,3,0
ACC WOMENS T20 CHAMPIONSHIP 2022,15(14),BTNW,T20I,"Bangi, Malaysia",18 Jun 22,107.1,1,0
"HONG KONG WOMEN TOUR OF UAE, 2022",4(10),UAEW,T20I,Ajman,30 Apr 22,40,0,0
"HONG KONG WOMEN TOUR OF UAE, 2022",4(13),UAEW,T20I,Ajman,29 Apr 22,30.7,0,0
"HONG KONG WOMEN TOUR OF UAE, 2022",39(45),UAEW,T20I,Ajman,28 Apr 22,86.6,1,0
"HONG KONG WOMEN TOUR OF UAE, 2022",45(53),UAEW,T20I,Ajman,27 Apr 22,84.9,6,0
"WOMENS EAST ASIA T20I CUP, 2019",21(20),CHNW,T20I,Incheon,22 Sep 19,105,2,0
"WOMENS EAST ASIA T20I CUP, 2019",19(20),SKRW,T20I,Incheon,21 Sep 19,95,3,0
"WOMENS EAST ASIA T20I CUP, 2019",0(2),JPNW,T20I,Incheon,20 Sep 19,0,0,0
"WOMENS EAST ASIA T20I CUP, 2019",10(11),CHNW,T20I,Incheon,19 Sep 19,90.9,1,0
THAILAND WOMENS T20 SMASH 2019,DNB,MMRW,T20I,Bangkok,19 Jan 19,DNB,DNB,DNB
THAILAND WOMENS T20 SMASH 2019,28*(27),MMRW,T20I,Bangkok,16 Jan 19,103.7,3,0
THAILAND WOMENS T20 SMASH 2019,5(8),BTNW,T20I,Bangkok,13 Jan 19,62.5,0,0
THAILAND WOMENS T20 SMASH 2019,14(32),IDNW,T20I,Bangkok,12 Jan 19,43.7,1,0
