Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,85
Runs,0,0,1472
Balls,0,0,1603
Highest,0,0,87
Average,0,0,20.16
SR,0,0,91.83
Not Out,0,0,12
Fours,0,0,140
Sixes,0,0,11
Ducks,0,0,7
