Stat,Test,ODI,T20,IPL
Matches,0,51,117,36
Innings,0,48,103,28
Runs,0,979,2261,486
Balls,0,1153,1594,339
Highest,0,101,107,67
Average,0,21.76,25.99,21.13
SR,0,84.91,141.85,143.37
Not Out,0,3,16,5
Fours,0,63,136,31
Sixes,0,42,150,35
Ducks,0,3,2,2
