Stat,Test,ODI,T20,IPL
Matches,18,57,89,2
Innings,27,55,86,2
Balls,3161,2717,1875,42
Runs,1756,2335,2263,75
Maidens,99,27,8,0
Wickets,67,70,106,4
Avg,26.21,33.36,21.35,18.75
Eco,3.33,5.16,7.24,10.71
SR,47.18,38.81,17.69,10.5
BBI,7/58,5/49,4/17,4/41
BBM,9/122,5/49,4/17,4/41
