batter,runs,balls,fours,sixes,strike_rate,dismissal
Virat Kohli,28,19,3,1,147.37,c A Rahane b Stokes
Mandeep Singh,0,3,0,0,0.0,c Dhoni b SN Thakur
AB de Villiers,29,30,1,2,96.67,st Dhoni b Tahir
Kedar Jadhav,18,22,0,0,81.82,b Unadkat
Shane Watson,14,18,1,0,77.78,b Stokes
Stuart Binny,18,8,2,1,225.0,b SN Thakur
Pawan Negi,10,7,0,1,142.86,c R Tripathi b SN Thakur
Adam Milne,2,3,0,0,66.67,b Stokes
Samuel Badree,0,1,0,0,0.0,b Unadkat
Sreenath Aravind,6,7,0,0,85.71,not out
Yuzvendra Chahal,1,2,0,0,50.0,not out
