batter,runs,balls,fours,sixes,strike_rate,dismissal
Yuvraj Singh,2,5,0,0,40.0,st P Patel b A Mishra
Marlon Samuels,5,9,1,0,55.56,c Cameron White b T Perera
Ross Taylor,19,19,0,0,100.0,b Ashish Reddy
Robin Uthappa,24,22,2,1,109.09,c P Patel b T Perera
Abhishek Nayar,19,14,2,0,135.71,c I Sharma b A Mishra
Ashok Dinda,0,2,0,0,0.0,c Cameron White b D Steyn
Angelo Mathews,8,6,1,0,133.33,not out
Bhuvneshwar Kumar,3,3,0,0,100.0,b D Steyn
Manish Pandey,15,29,0,0,51.72,c Cameron White b A Mishra
Mitchell Marsh,7,3,0,1,233.33,run out (T Perera)
Rahul Sharma,0,1,0,0,0.0,b D Steyn
