Stat,Test,ODI,T20,IPL
Matches,0,71,87,119
Innings,0,64,70,106
Runs,0,1495,1416,2204
Balls,0,1591,968,1493
Highest,0,146,78,124
Average,0,26.7,30.78,29
SR,0,93.97,146.29,147.63
Not Out,0,8,24,30
Fours,0,134,116,176
Sixes,0,49,66,117
Ducks,0,5,2,10
