Stat,Test,ODI,T20,IPL
Matches,0,71,87,119
Innings,0,64,57,74
Balls,0,2071,905,917
Runs,0,2070,1337,1503
Maidens,0,5,1,0
Wickets,0,48,53,45
Avg,0.0,43.13,25.23,33.4
Eco,0,6,8.86,9.83
SR,0.0,43.15,17.08,20.38
BBI,-/-,3/16,4/23,4/15
BBM,-/-,3/16,4/23,4/15
