bowler,overs,maidens,runs,wickets,economy
Tymal Mills,4,0,31,1,7.8
Aniket Choudhary,4,0,55,1,13.8
Chahal,4,0,22,1,5.5
Aravind,3,0,36,0,12.0
Watson,3,0,41,0,13.7
Head,1,0,11,0,11.0
Binny,1,0,10,1,10.0
