bowler,overs,maidens,runs,wickets,economy
Mukesh Kumar,4,0,55,2,13.8
Lungi Ngidi,4,0,24,1,6.0
Axar Patel,3,0,32,0,10.7
Kuldeep Yadav,4,0,42,1,10.5
T Natarajan,4,0,34,0,8.5
Vipraj Nigam,1,0,23,0,23.0
