batter,runs,balls,fours,sixes,strike_rate,dismissal
Roman Mazumder,25,20,1,2,125.0,c Faheem Nellancheri b Amjad Sher
Ruel Brathwaite,2,4,0,0,50.0,c Jordan OBrien b Amjad Sher
Alexander Senn,24,35,1,0,68.57,b Faraaz Abbas
Mangala Gunasekara,0,4,0,0,0.0,b Hammadullah Shinwari
Adam Senn,1,2,0,0,50.0,lbw b Amjad Sher
Akila Kalugala,2,6,0,0,33.33,st Jordan OBrien b Hammadullah Shinwari
Arjun Shahi,1,6,0,0,16.67,c Faheem Nellancheri b Junaid Khan
Ashish Bam,26,31,4,0,83.87,retd hurt
Taranjit Singh,10,10,1,0,100.0,not out
Karan Singh,3,3,0,0,100.0,not out
