Stat,Test,ODI,T20,IPL
Matches,67,282,159,277
Innings,116,274,151,272
Runs,4301,11577,4231,7267
Balls,7538,12482,3003,5461
Highest,212,264,121,109
Average,40.58,48.85,31.34,30.03
SR,57.06,92.75,140.90,133.08
Not Out,10,37,16,30
Fours,473,1089,383,659
Sixes,88,357,205,317
Ducks,6,16,12,18
