Stat,Test,ODI,T20,IPL
Matches,0,0,0,25
Innings,0,0,0,24
Balls,0,0,0,501
Runs,0,0,0,880
Maidens,0,0,0,0
Wickets,0,0,0,26
Avg,0.0,0.0,0.0,33.85
Eco,0,0,0,10.54
SR,0.0,0.0,0.0,19.27
BBI,-/-,-/-,-/-,3/20
BBM,-/-,-/-,-/-,3/20
