Stat,Test,ODI,T20,IPL
Matches,0,0,82,0
Innings,0,0,39,0
Balls,0,0,507,0
Runs,0,0,626,0
Maidens,0,0,0,0
Wickets,0,0,27,0
Avg,0.0,0.0,23.19,0.0
Eco,0,0,7.41,0
SR,0.0,0.0,18.78,0.0
BBI,-/-,-/-,5/8,-/-
BBM,-/-,-/-,5/8,-/-
