bowler,overs,maidens,runs,wickets,economy
Albie Morkel,4,0,20,0,5.0
Mohit Sharma,4,0,31,2,7.75
Ravichandran Ashwin,4,0,33,1,8.25
Chris Morris,3,0,31,0,10.33
Suresh Raina,1,0,19,0,19.0
Dwayne Bravo,4,0,34,3,8.5
